"Game","Count","PopularityCategory"
"demons-souls",29,"Not so popular"
"company-of-heroes",29,"Not so popular"
"alien-swarm",29,"Not so popular"
"sid-meiers-pirates",29,"Not so popular"
"tf2-mann-vs-machine",29,"Not so popular"
"the-gold-factory",29,"Not so popular"
"pokemon-ruby-sapphire-emerald",29,"Not so popular"
"simcity-buildit",29,"Not so popular"
"final-fantasy-record-keeper",29,"Not so popular"
"legend-of-zelda-series",29,"Not so popular"
"xcom-2-war-of-the-chosen",29,"Not so popular"
"skyrim-special-edition",29,"Not so popular"
"sc2-build-order",28,"Not so popular"
"warcraft-3-frozen-throne",28,"Not so popular"
"killing-floor",28,"Not so popular"
"spacechem",28,"Not so popular"
"heroes-of-might-and-magic-3",28,"Not so popular"
"plague-inc",28,"Not so popular"
"battlelog",28,"Not so popular"
"hdmi",28,"Not so popular"
"nintendo-eshop",28,"Not so popular"
"disgaea-5",28,"Not so popular"
"the-binding-of-isaac-afterbirth",28,"Not so popular"
"hollow-knight",28,"Not so popular"
"west-of-loathing",28,"Not so popular"
"xbox",27,"Not so popular"
"zelda-wind-waker",27,"Not so popular"
"crysis-2",27,"Not so popular"
"space-pirates-and-zombies",27,"Not so popular"
"awesomenauts",27,"Not so popular"
"sleeping-dogs",27,"Not so popular"
"risk-of-rain",27,"Not so popular"
"steam-workshop",27,"Not so popular"
"tomodachi-life",27,"Not so popular"
"the-talos-principle",27,"Not so popular"
"adventure-capitalist",27,"Not so popular"
"mortal-kombat-x",27,"Not so popular"
"invisible-inc",27,"Not so popular"
"doom-2016",27,"Not so popular"
"bioshock-2",26,"Not so popular"
"quake-3",26,"Not so popular"
"diablo",26,"Not so popular"
"arma-2",26,"Not so popular"
"zelda-majoras-mask",26,"Not so popular"
"frozen-synapse",26,"Not so popular"
"super-mario-64",26,"Not so popular"
"the-stanley-parable",26,"Not so popular"
"super-mario-3d-land",26,"Not so popular"
"final-fantasy-6",26,"Not so popular"
"nuclear-dawn",26,"Not so popular"
"minecraft-forestry",26,"Not so popular"
"war-thunder",26,"Not so popular"
"etrian-odyssey-untold",26,"Not so popular"
"dead-by-daylight",26,"Not so popular"
"ghost-recon-wildlands",26,"Not so popular"
"hades",26,"Not so popular"
"legal",25,"Not so popular"
"wifi",25,"Not so popular"
"mortal-kombat-9",25,"Not so popular"
"chantelise-a-tale-of-two-sisters",25,"Not so popular"
"payday-the-heist",25,"Not so popular"
"scrolls",25,"Not so popular"
"assassins-creed-unity",25,"Not so popular"
"halo-the-master-chief-collection",25,"Not so popular"
"world-of-warships",25,"Not so popular"
"fire-emblem-fates",25,"Not so popular"
"animal-crossing-pocket-camp",25,"Not so popular"
"surviving-mars",25,"Not so popular"
"braid",24,"Not so popular"
"fallout-2",24,"Not so popular"
"metro-2033",24,"Not so popular"
"infinity-blade",24,"Not so popular"
"anno-1404",24,"Not so popular"
"trackmania-forever",24,"Not so popular"
"dragons-dogma",24,"Not so popular"
"need-for-speed-most-wanted-2012",24,"Not so popular"
"pokemon-diamond-pearl-platinum",24,"Not so popular"
"humble-bundle",24,"Not so popular"
"pokemon-fire-red-leaf-green",24,"Not so popular"
"x-rebirth",24,"Not so popular"
"sunless-sea",24,"Not so popular"
"elite-dangerous-horizons",24,"Not so popular"
"titanfall-2",24,"Not so popular"
"divinity-original-sin-2",24,"Not so popular"
"assassins-creed-odyssey",24,"Not so popular"
"fallout-76",24,"Not so popular"
"crusader-kings-3",24,"Not so popular"
"super-mario-galaxy-2",23,"Not so popular"
"star-trek-online",23,"Not so popular"
"disgaea",23,"Not so popular"
"baldurs-gate-2",23,"Not so popular"
"desktop-dungeons",23,"Not so popular"
"stereo-3d",23,"Not so popular"
"botanicula",23,"Not so popular"
"happy-street",23,"Not so popular"
"natural-selection-2",23,"Not so popular"
"alpha-centauri",23,"Not so popular"
"sword-of-the-stars-the-pit",23,"Not so popular"
"arma-3",23,"Not so popular"
"oculus-rift",23,"Not so popular"
"pokemon-black-2-white-2",23,"Not so popular"
"castle-clash",23,"Not so popular"
"system-requirements",23,"Not so popular"
"minecraft-direwolf20",23,"Not so popular"
"thief",23,"Not so popular"
"minecraft-tinkers-construct",23,"Not so popular"
"rise-of-the-tomb-raider",23,"Not so popular"
"slime-rancher",23,"Not so popular"
"mcedit",23,"Not so popular"
"final-fantasy-brave-exvius",23,"Not so popular"
"dolphin-emulator",23,"Not so popular"
"magikarp-jump",23,"Not so popular"
"star-wars-battlefront-2-2017",23,"Not so popular"
"kingdom-come-deliverance",23,"Not so popular"
"danmachi-memoria-freese",23,"Not so popular"
"health",22,"Not so popular"
"halo-3",22,"Not so popular"
"little-big-planet",22,"Not so popular"
"final-fantasy-tactics",22,"Not so popular"
"super-mario-world",22,"Not so popular"
"need-for-speed-most-wanted-2005",22,"Not so popular"
"little-big-planet-2",22,"Not so popular"
"dungeon-siege-3",22,"Not so popular"
"darksiders",22,"Not so popular"
"the-legend-of-zelda",22,"Not so popular"
"tf2-soldier",22,"Not so popular"
"gog",22,"Not so popular"
"tropico-5",22,"Not so popular"
"steam-community-market",22,"Not so popular"
"black-desert-online",22,"Not so popular"
"diep.io",22,"Not so popular"
"astroneer",22,"Not so popular"
"assassins-creed-origins",22,"Not so popular"
"mario-series",21,"Not so popular"
"chrono-trigger",21,"Not so popular"
"zelda-twilight-princess",21,"Not so popular"
"galaxy-editor",21,"Not so popular"
"final-fantasy-8",21,"Not so popular"
"lego-star-wars",21,"Not so popular"
"battlefield-2",21,"Not so popular"
"medieval-2-total-war",21,"Not so popular"
"vampire-the-masquerade-bloodlines",21,"Not so popular"
"the-darkness-2",21,"Not so popular"
"tera",21,"Not so popular"
"baldurs-gate-enhanced",21,"Not so popular"
"minecraft-computercraft",21,"Not so popular"
"simpsons-tapped-out",21,"Not so popular"
"injustice-gods-among-us",21,"Not so popular"
"mtg-duels-of-the-planeswalkers-2014",21,"Not so popular"
"endless-space-disharmony",21,"Not so popular"
"call-of-duty-world-at-war",21,"Not so popular"
"minecraft-pixelmon",21,"Not so popular"
"goat-simulator",21,"Not so popular"
"google-play-games",21,"Not so popular"
"minecraft-story-mode",21,"Not so popular"
"just-cause-3",21,"Not so popular"
"american-truck-simulator",21,"Not so popular"
"hearts-of-iron-4",21,"Not so popular"
"mario-kart-8-deluxe",21,"Not so popular"
"prey",21,"Not so popular"
"sonic-mania",21,"Not so popular"
"middle-earth-shadow-of-war",21,"Not so popular"
"pokemon-ultra-sun-ultra-moon",21,"Not so popular"
"super-mario-maker-2",21,"Not so popular"
"fire-emblem-three-houses",21,"Not so popular"
"minecraft-launcher",21,"Not so popular"
"fruit-ninja",20,"Not so popular"
"rollercoaster-tycoon",20,"Not so popular"
"xbox-live-arcade",20,"Not so popular"
"dos",20,"Not so popular"
"far-cry-2",20,"Not so popular"
"super-mario-bros-3",20,"Not so popular"
"portal-series",20,"Not so popular"
"age-of-mythology",20,"Not so popular"
"psychonauts",20,"Not so popular"
"game-center",20,"Not so popular"
"tf2-sniper",20,"Not so popular"
"star-wars-kotor-2",20,"Not so popular"
"metal-gear-solid-3-snake-eater",20,"Not so popular"
"brogue",20,"Not so popular"
"okami",20,"Not so popular"
"black-mesa",20,"Not so popular"
"paper-mario-sticker-star",20,"Not so popular"
"runner2",20,"Not so popular"
"metro-last-light",20,"Not so popular"
"minecraft-hexxit",20,"Not so popular"
"skyrim-falskaar",20,"Not so popular"
"spelunky-hd",20,"Not so popular"
"skylanders-swap-force",20,"Not so popular"
"rocksmith-2014",20,"Not so popular"
"broken-age",20,"Not so popular"
"twitch",20,"Not so popular"
"forza-horizon-2",20,"Not so popular"
"fantasy-life",20,"Not so popular"
"bloons-monkey-city",20,"Not so popular"
"call-of-duty-series",20,"Not so popular"
"star-wars-galaxy-of-heroes",20,"Not so popular"
"sky-force-reloaded",20,"Not so popular"
"deus-ex-mankind-divided",20,"Not so popular"
"for-honor",20,"Not so popular"
"torment-tides-of-numenera",20,"Not so popular"
"succubox",20,"Not so popular"
"civilization-6-rise-and-fall",20,"Not so popular"
"windows-xp",19,"Not so popular"
"left-4-dead",19,"Not so popular"
"digital-distribution",19,"Not so popular"
"dead-space",19,"Not so popular"
"castle-crashers",19,"Not so popular"
"fallout-series",19,"Not so popular"
"directx-9",19,"Not so popular"
"dc-universe-online",19,"Not so popular"
"zelda-link-to-the-past",19,"Not so popular"
"gemcraft-labyrinth",19,"Not so popular"
"flight-simulator-x",19,"Not so popular"
"quake",19,"Not so popular"
"mario-kart-7",19,"Not so popular"
"doom-2",19,"Not so popular"
"xenoblade-chronicles",19,"Not so popular"
"diablo-series",19,"Not so popular"
"osu",19,"Not so popular"
"orcs-must-die-2",19,"Not so popular"
"gnomoria",19,"Not so popular"
"knights-of-pen-and-paper",19,"Not so popular"
"the-cave",19,"Not so popular"
"minecraft-applied-energistics",19,"Not so popular"
"counter-strike-condition-zero",19,"Not so popular"
"diablo-3-crusader",19,"Not so popular"
"unturned",19,"Not so popular"
"think-different",19,"Not so popular"
"blade-and-soul",19,"Not so popular"
"fifa-17",19,"Not so popular"
"the-binding-of-isaac-afterbirth+",19,"Not so popular"
"a-hat-in-time",19,"Not so popular"
"sea-of-thieves",19,"Not so popular"
"death-stranding",19,"Not so popular"
"virtualization",18,"Not so popular"
"lego-harry-potter-years-1-4",18,"Not so popular"
"burnout-paradise",18,"Not so popular"
"half-life-series",18,"Not so popular"
"neverwinter-nights-2",18,"Not so popular"
"need-for-speed-hot-pursuit-2010",18,"Not so popular"
